"Date","winner","loser"
"Results for December 28th 2020","ex-ETHEREAL","Lyngby Vikings"
"Results for December 28th 2020","Winstrike","MBAPPEEK"
"Results for December 28th 2020","Project X","Lilmix"
"Results for December 27th 2020","Budapest Five","Lilmix"
"Results for December 27th 2020","Project X","The Incas"
"Results for December 27th 2020","ex-ETHEREAL","VP.Prodigy"
"Results for December 27th 2020","Nexus","MBAPPEEK"
"Results for December 25th 2020","Winstrike","9INE"
"Results for December 25th 2020","NAVI Junior","Project X"
"Results for December 24th 2020","Lyngby Vikings","Espada"
"Results for December 24th 2020","Winstrike","ex-ETHEREAL"
"Results for December 24th 2020","9INE","Unique"
"Results for December 23rd 2020","ex-ETHEREAL","1WIN"
"Results for December 23rd 2020","Project X","Lyngby Vikings"
"Results for December 23rd 2020","Winstrike","BEZ ZP"
"Results for December 23rd 2020","Winstrike","SG.pro"
"Results for December 22nd 2020","ex-ETHEREAL","VP.Prodigy"
"Results for December 22nd 2020","Lilmix","VP.Prodigy"
"Results for December 22nd 2020","BEZ ZP","GROND"
"Results for December 22nd 2020","Sinners","Nexus"
"Results for December 21st 2020","1WIN","NOFEAR5"
"Results for December 21st 2020","NAVI Junior","Espada"
"Results for December 21st 2020","Winstrike","Galaxy Racer fe"
"Results for December 21st 2020","HellRaisers","MBAPPEEK"
"Results for December 21st 2020","Budapest Five","ex-ETHEREAL"
"Results for December 21st 2020","Yeah","RBG"
"Results for December 21st 2020","DETONA","9z"
"Results for December 21st 2020","RBG","Rebirth"
"Results for December 21st 2020","Yeah","timbermen"
"Results for December 20th 2020","CLG Red","Dignitas fe"
"Results for December 20th 2020","SKADE","Project X"
"Results for December 20th 2020","Broderna145","Lilmix"
"Results for December 20th 2020","Astralis","Liquid"
"Results for December 20th 2020","XSET","Galaxy Racer fe"
"Results for December 20th 2020","Project X","EC Kyiv"
"Results for December 20th 2020","SKADE","Mixich"
"Results for December 20th 2020","NAVI Junior","Winstrike"
"Results for December 20th 2020","Lilmix","Falkn"
"Results for December 20th 2020","Wolsung","atputies"
"Results for December 20th 2020","Lilmix","9INE"
"Results for December 20th 2020","Broderna145","Wochhs"
"Results for December 20th 2020","K23","Movistar Riders"
"Results for December 20th 2020","GTZ Bulls","Baecon"
"Results for December 20th 2020","Budapest Five","SG.pro"
"Results for December 20th 2020","DETONA","Havan Liberty"
"Results for December 19th 2020","9z","Sharks"
"Results for December 19th 2020","GamerLegion","Pompa"
"Results for December 19th 2020","Liquid","BIG"
"Results for December 19th 2020","x6tence","Real Betis"
"Results for December 19th 2020","Dignitas fe","Violent Roses"
