h2htot,t1_win_perc,wr_1,wr_2,num_best_of,pstats_mean_dif,form_num_dif,team1_ELO,team2_ELO,team1_elo_o,team1_elo_d,team2_elo_o,team2_elo_d,outcome_label
6,0.666666667,34,41,3,-0.0872,-2,1221,1245,1119,1142,1062,1256,2
0,0.5,25,201,3,0.0472,4,1412,1010,1269,1356,945,1000,1
0,0.5,29,201,3,0.032,2,1310,939,1215,1227,972,1014,1
0,0.5,101,35,3,-0.082,-2,960,1193,1080,877,1160,1116,2
0,0.5,43,64,3,0.122933333,0,1245,1073,1062,1256,1082,1069,2
5,0.4,37,70,3,1.0948,0,1221,1032,1119,1142,1031,1029,2
0,0.5,88,95,3,0.0204,0,1012,907,1049,1084,947,988,1
0,0.5,168,75,3,-0.26,4,1011,930,1006,972,1076,878,1
1,0,75,95,3,0.106,2,930,907,1076,878,947,988,1
0,0.5,88,168,3,-0.025333333,-4,1012,1045,1049,1084,1052,975,2
2,0,48,201,3,0.082533333,0,1044,1174,1045,1046,1071,1116,1
0,0.5,64,201,3,-0.0526,0,1116,1001,1040,1052,1040,1003,1
14,0.357142857,4,27,3,-0.1856,-2,1503,1409,1332,1274,1261,1353,2
0,0.5,201,201,3,-0.878,1,1019,970,978,1020,967,1006,1
5,0.8,27,187,3,0.2136,4,1409,1234,1261,1353,1072,1194,1
0,0.5,4,201,3,-0.0322,2,1503,981,1332,1274,1006,1001,1
3,1,64,185,3,1.1186,0,1116,986,1040,1052,981,1025,1
0,0.5,47,65,3,-0.1212,0,1195,1240,1130,1064,1209,1128,2
0,0.5,201,89,3,0.08,0,1174,1034,1071,1116,1043,985,1
4,0,201,48,3,0.3804,0,1178,1016,1137,1120,1008,967,2
2,0,46,89,3,0.0456,0,1040,1047,1091,1001,1062,956,2
0,0.5,201,201,3,0.016,0,1073,1041,1100,1033,1010,1063,2
1,1,48,201,3,0.073,0,1016,939,1018,1019,959,947,1
0,0.5,201,201,3,-0.2708,-4,1189,1005,1127,1124,986,1004,1
0,0.5,105,87,3,-0.0552,0,987,1030,1068,987,1154,1005,2
3,0.666666667,27,187,3,0.0976,2,1369,1246,1217,1324,1079,1213,1
2,1,13,65,3,0.0184,0,1539,1221,1332,1427,1195,1104,1
0,0.5,187,164,3,-0.1396,-2,1117,955,1127,1099,934,966,1
0,0.5,112,95,3,0.1624,2,1036,943,1007,1041,940,1025,1
0,0.5,201,201,3,0.9976,-3,1004,980,1109,962,975,984,1
3,0.333333333,164,141,3,0.1368,0,967,997,947,979,933,928,1
0,0.5,64,201,3,1.057,0,1086,984,1045,1056,1026,981,1
0,0.5,187,27,3,-0.1548,0,1105,1355,1114,1086,1193,1315,2
0,0.5,37,65,3,-0.1824,-2,1274,1226,1166,1202,1205,1114,2
1,1,56,41,3,0.0596,-2,1158,1039,1141,996,968,1052,1
1,1,37,73,3,-0.018,2,1274,1111,1166,1202,969,1149,2
22,0.727272727,13,25,3,0.168,4,1534,1200,1322,1417,1088,1127,1
0,0.5,45,75,3,0.0928,4,1115,925,1188,1014,1040,913,1
0,0.5,201,141,3,0.0136,0,989,1021,985,1024,954,927,2
3,0.333333333,47,25,3,0.100733333,6,1214,1205,1154,1078,1094,1138,2
0,0.5,164,190,3,0.182,0,943,1031,948,958,954,917,1
0,0.5,32,65,3,-0.0832,-2,1141,1199,1125,1018,1182,1133,2
4,0.25,26,37,3,-0.0844,-2,1233,1332,1055,1206,1172,1216,2
2,1,27,141,3,0.1904,2,1347,1001,1176,1304,973,900,1
13,0.307692308,4,16,5,-0.0532,2,1530,1362,1349,1291,1288,1283,1
0,0.5,190,187,3,-0.0276,0,1008,1260,963,942,1088,1237,2
4,0,43,13,3,0.0508,2,1255,1529,1056,1225,1311,1411,2
0,0.5,186,164,3,-0.186,0,970,916,1013,962,926,934,2
0,0.5,201,201,3,0.1108,0,930,1009,1032,969,1012,1005,2
0,0.5,65,64,3,0.156133333,2,1181,1042,1169,1110,1095,1046,1
0,0.5,201,187,3,-1.0412,-1,1009,1252,1012,1005,1074,1229,2
2,0,37,34,3,0.0296,0,1316,1122,1193,1203,1075,1153,1
0,0.5,141,164,3,0.104,2,1006,891,978,907,900,953,1
0,0.5,206,201,3,0.036,0,1016,947,971,956,1056,945,1
0,0.5,45,55,3,-0.0364,0,1086,1160,1069,1101,1102,1128,2
0,0.5,30,201,3,1.1736,0,1342,995,1169,1299,994,988,1
0,0.5,44,53,3,-0.2036,-4,1143,1262,1123,1022,1061,1196,2
1,1,143,201,3,0.2092,4,1131,1003,1117,1088,949,991,1
0,0.5,201,201,3,-1.2692,2,1024,1057,982,1028,1099,1061,1
0,0.5,201,201,3,0.2924,4,964,1003,1037,940,949,991,2
0,0.5,171,108,3,-0.0236,-2,1025,1058,1020,988,1054,992,1
0,0.5,143,201,3,0.3376,0,1131,987,1117,1088,980,986,1
13,0.461538462,108,201,3,-0.0048,0,1058,1109,1054,992,1088,1061,1
0,0.5,201,171,3,0.0544,2,1114,1008,1097,1083,1039,959,2
0,0.5,201,201,3,0.416,0,1009,1000,977,966,997,1001,2
2,0,201,106,3,-0.134,-2,997,969,894,1030,1101,884,1
0,0.5,201,201,3,-0.838666667,-4,1017,939,1018,1021,971,930,1
2,0,195,106,3,-0.0808,-2,919,969,961,955,1101,884,2
0,0.5,201,201,1,0.146266667,2,984,968,1016,963,957,971,1
0,0.5,201,201,3,0.4544,4,1052,1022,1018,1068,1024,983,1
0,0.5,201,143,1,-0.1908,-2,978,1104,870,1003,1084,1103,2
0,0.5,201,201,1,0.319333333,3,1031,956,999,988,992,948,1
5,0.8,106,143,1,-0.0616,0,969,1104,1114,927,1084,1103,2
0,0.5,201,201,1,1.03,0,984,978,1016,963,975,979,1
2,0,201,195,1,0.0282,2,978,938,870,1003,942,969,1
0,0.5,72,52,3,-0.1216,-4,984,1133,1093,937,1067,1174,2
0,0.5,79,59,3,-0.3496,-6,1079,1247,1061,1022,1040,1224,2
6,0.5,74,60,3,0.0568,0,1070,1066,1026,1082,1183,951,1
0,0.5,64,60,3,0.004,0,1103,1088,1089,1077,1166,970,1
0,0.5,201,74,5,-0.973066667,0,983,1056,982,982,1070,1062,2
2,1,52,92,3,0.151933333,2,1120,959,1052,1156,957,1002,1
6,0.333333333,51,79,3,-0.018,-2,1158,1091,1095,1043,1074,997,1
3,0.666666667,59,73,3,0.2332,4,1235,1019,1065,1211,1045,1002,1
3,0.333333333,66,74,3,0.0404,2,1237,1039,1179,1101,1052,1044,1
3,0.666666667,29,72,0,0.0684,-2,1183,1045,1137,1175,1104,1060,2
3,0.666666667,59,52,5,0.124866667,4,1225,1108,1045,1198,1032,1191,1
0,0.5,73,107,3,-0.1092,-2,1029,936,1058,1022,1018,921,1
3,0.333333333,114,52,3,0.0714,2,1001,1123,985,1055,1045,1177,2
0,0.5,72,74,3,0.0328,0,997,1049,1111,952,1049,1059,2
2,0,59,84,3,0.2102,4,1210,961,1059,1185,948,980,1
0,0.5,83,59,3,-0.1104,-6,1017,1210,1059,1098,1059,1185,2
0,0.5,52,92,3,0.087,0,1109,971,1068,1165,922,1022,1
0,0.5,60,92,3,0.003066667,0,1109,971,1195,986,922,1022,1
0,0.5,84,166,3,-1.053,-4,1018,947,1024,1019,945,1021,1
4,0.5,75,51,3,0.1336,2,1167,1140,1153,1135,1078,1017,1
0,0.5,127,201,3,0.0412,0,1015,985,997,1032,983,948,1
16,0.3125,66,29,0,0.0988,6,1227,1213,1164,1104,1142,1180,1
0,0.5,201,61,3,0.1953,-2,1059,1191,1061,1037,1063,1159,2
0,0.5,75,37,3,-0.0752,0,1109,1305,1100,1014,1172,1211,2
7,0.142857143,45,66,3,0.2062,2,1095,1054,1050,1155,942,1070,2
4,1,39,85,3,0.302,6,1214,1025,1180,1151,1042,971,1
1,1,134,145,3,0.0872,-2,1163,1219,1208,1030,1040,1275,2
1,1,51,85,3,0.0456,2,1062,1036,1076,1021,1058,982,2
0,0.5,107,39,3,-0.0388,0,1034,1203,1023,1054,1169,1135,2
11,0.727272727,201,201,3,0.0976,4,1256,1035,1146,1133,1019,1037,1
8,0.625,43,78,3,0.0772,2,1251,1030,1129,1103,1032,1032,1
0,0.5,201,64,3,0.2588,2,1042,1096,1037,1053,1229,966,1
63,0.761904762,2,17,5,-0.069733333,0,1655,1416,1345,1559,1414,1365,1
10,0.8,194,201,3,0.076333333,0,1047,934,1047,1045,929,966,1
0,0.5,78,98,3,-0.1272,-2,1048,1025,1007,1099,1026,946,1
0,0.5,201,43,3,-0.982,2,992,1251,1029,986,1129,1103,2
0,0.5,73,61,3,0.0216,0,1206,1177,1163,1102,1041,1142,1
0,0.5,64,201,3,-0.0414,-2,1096,988,1229,966,1012,971,1
0,0.5,201,201,3,0.1296,-2,1175,971,1137,1079,1008,967,1
0,0.5,86,64,3,0.0284,2,1013,1096,1043,999,1229,966,2
0,0.5,201,201,3,0,0,1042,982,1037,1053,981,980,1
6,0.5,48,38,3,0.0184,-2,1233,1326,1002,1161,1314,1269,2
0,0.5,201,146,3,-0.0932,-4,1024,941,1035,1019,964,916,1
0,0.5,66,84,3,0.0188,0,1082,1028,1073,1048,1075,1077,1
0,0.5,145,129,3,0.0352,0,1201,1075,1017,1256,1038,1106,1
0,0.5,134,238,3,-0.0716,0,1181,1229,1227,1053,1105,1294,1
0,0.5,104,178,3,0.0992,4,1080,959,978,1124,888,1026,1
0,0.5,5,17,3,-0.0584,2,1518,1424,1330,1315,1428,1342,2
0,0.5,50,152,3,0.1728,2,1193,922,1163,1095,904,970,1
3,0.666666667,201,201,3,-1.052,-2,982,1044,981,980,1035,1053,2
2,0,86,67,3,-0.0212,-2,1030,1152,1072,1009,1081,1092,2
0,0.5,201,146,3,0.0266,2,979,958,951,982,984,932,2
43,0.465116279,3,2,3,0.012666667,0,1556,1647,1267,1463,1368,1545,2
0,0.5,201,178,3,-0.1716,0,957,959,960,949,888,1026,2
0,0.5,66,201,5,0.984,0,1063,983,1096,1022,979,984,1
4,1,201,201,3,0.084666667,-2,1073,1005,1078,1059,1004,968,1
0,0.5,201,104,3,-0.0348,0,966,1080,1007,958,978,1124,2
2,0,152,62,3,0.1093,0,1059,1020,1004,1028,1048,1057,1
2,0,141,36,3,-0.0464,-4,981,1200,1007,942,1169,1149,2
2,0,38,25,3,-0.0232,0,1310,1305,1300,1261,1272,1186,1
6,0.333333333,62,146,0,-0.094,-4,1020,958,1048,1057,984,932,2
0,0.5,201,201,1,-0.1184,-4,1007,979,1019,999,951,982,1
0,0.5,50,201,3,0.19,4,1193,990,1163,1095,971,1013,1
0,0.5,201,146,1,-0.948,0,979,958,951,982,984,932,1
0,0.5,62,201,1,-0.0624,0,1020,941,1048,1057,979,948,2
2,1,48,73,3,-0.0512,0,1249,1143,1010,1175,1126,1108,1
1,1,184,238,3,0.0032,0,1058,1229,1061,1150,1105,1294,2
0,0.5,129,131,3,0.296,0,1137,1156,1064,1137,1052,1081,1
0,0.5,96,86,3,-0.100866667,-4,1093,1044,1045,1035,1094,981,1
4,0,201,201,3,-1.0328,-4,981,1026,980,979,1015,1034,2
0,0.5,201,36,3,-0.107266667,-4,976,1191,1000,954,1159,1134,2
30,0.666666667,6,17,3,0.0596,2,1448,1397,1335,1303,1412,1319,2
0,0.5,238,167,3,0.0132,-2,1241,980,1103,1313,914,1025,1
0,0.5,61,141,3,0.1232,4,1197,990,1061,1164,1022,952,1
