"Date","winner","loser"
2012-08-25,"Visby","Ljushuvud"
2012-08-25,"BuggIT","Madzone"
2012-08-25,"Madzone","Visby"
2012-08-25,"BuggIT","Ljushuvud"
2012-08-25,"Madzone","Ljushuvud"
2012-08-25,"BuggIT","Visby"
2012-08-25,"VBY","E-Srael"
2012-08-25,"NiP","Lemondogs"
2012-08-25,"Lemondogs","E-Srael"
2012-08-25,"NiP","VBY"
2012-08-25,"Lemondogs","VBY"
2012-08-25,"NiP","E-Srael"
2012-08-26,"NiP","BuggIT"
2012-08-26,"Lemondogs","Madzone"
2012-08-26,"BuggIT","Lemondogs"
2012-08-26,"NiP","Madzone"
2012-09-02,"Area 51","hold mouse1"
2012-09-02,"Dynamic","Murder Inc"
2012-09-03,"Area 51","Dynamic"
2012-09-13,"Blight","FMESPORTS"
2012-09-13,"NiP","PRiME"
2012-09-17,"3DMAX","Blight"
2012-09-18,"mousesports","WinFakt"
2012-09-18,"Kawabunga","iGamerz"
2012-09-18,"Coreplay","virtual Zoldier"
2012-09-19,"Epsilon","PRIME"
2012-09-20,"Coreplay","Kawabunga"
2012-09-21,"x6tence","bemyfRAG"
2012-09-21,"NiP","34united"
2012-09-21,"ROCCAT","PRiME"
2012-09-22,"NiP","x6tence"
2012-09-22,"NiP","bemyfRAG"
2012-09-22,"x6tence","34united"
2012-09-22,"k1ck","VeryGames"
2012-09-22,"VeryGames","ASES"
2012-09-22,"ASES","DN-Gaming"
2012-09-22,"k1ck","k1ck"
2012-09-22,"VeryGames","DN-Gaming"
2012-09-22,"NiP","ASES"
2012-09-22,"NiP","DN-Gaming"
2012-09-23,"34united","bemyfRAG"
2012-09-23,"NiP","VeryGames"
2012-09-23,"NiP","k1ck"
2012-09-23,"VeryGames","x6tence"
2012-10-02,"GIVE IT ALL ","Absolute Legends"
2012-10-02,"HastaLaVista","ROCCAT"
2012-10-02,"mousesports","logiX"
2012-10-02,"Red Dead","iPLAY"
2012-10-02,"ALTERNATE aTTaX","Tt Dragons"
2012-10-02,"dotpiXels","SFTO"
2012-10-02,"n!faculty","CPLAY"
2012-10-03,"Publiclir.se","ImmuNe "
2012-10-03,"VeryGames","eXtensive"
2012-10-03,"HastaLaVista","Afterlife Gaming "
2012-10-03,"NiP","hiGhrollers "
2012-10-03,"mousesports","logiX"
2012-10-03,"hiGhrollers ","Paranoia"
2012-10-03,"NOD","AC4E"
2012-10-03,"VeryGames","disLike"
2012-10-03,"NiP","AfterShock Crushed "
2012-10-03,"WinFakt","CARAMBA "
2012-10-03,"VeryGames","unexpected"
2012-10-03,"k1ck","FMSapphire"
2012-10-03,"gosu ","3DMAX"
2012-10-04,"HastaLaVista","WinFakt"
2012-10-04,"gamed!de","mTw"
2012-10-04,"Red Dead","n!faculty"
2012-10-04,"Publiclir.se","GIVE IT ALL "
2012-10-04,"iPLAY","CPLAY"
2012-10-04,"logiX","Tt Dragons"
2012-10-04,"mTw","SFTO"
2012-10-04,"Lions","ROCCAT"
2012-10-05,"FMESPORTS","eNigma"
2012-10-07,"ALSEN","iNET koxXx"
2012-10-07,"TeamCRG","VYE"
2012-10-07,"MaxFloPlay","GIVE IT ALL"
2012-10-07,"gosu ","Lions"
2012-10-08,"Tt Dragons","n!faculty"
2012-10-08,"gamed!de","zuom"
2012-10-08,"mousesports","ALTERNATE aTTaX"
2012-10-08,"mTw","NOD"
2012-10-08,"aliquo","4Kings"
2012-10-08,"mousesports","786"
2012-10-09,"SY&b","n!faculty"
2012-10-09,"NiP","gamed!de"
2012-10-09,"dotpiXels","dotpiXels"
2012-10-09,"mousesports","Publiclir.se"
2012-10-09,"ESC","iPLAY"
2012-10-09,"HastaLaVista","CPLAY"
2012-10-09,"Tt Dragons","aSperaGamers"
2012-10-09,"SY&b","gosu "
2012-10-09,"NiP","Red Dead"
2012-10-10,"mousesports","Tt Dragons"
2012-10-10,"mTw","gamed!de"
2012-10-10,"mousesports","ALTERNATE aTTaX"
2012-10-10,"mousesports","TeamCRG"
2012-10-10,"FMESPORTS","aliquo"
2012-10-11,"gamed!de","ALTERNATE aTTaX"
2012-10-11,"n!faculty","dotpiXels"
2012-10-11,"NiP","HastaLaVista"
2012-10-11,"mousesports","Red Dead"
2012-10-12,"FMESPORTS","mousesports"
2012-10-13,"SteelShock","[R]eason"
2012-10-13,"FMSapphire","SteelShock"
2012-10-13,"k1ck","[R]eason"
2012-10-14,"MaxFloPlay","iNET koxXx"
2012-10-14,"aSperaGamers","BoomSlave"
2012-10-14,"Clan Poland","ALSEN"
2012-10-14,"k1ck","FMSapphire"
2012-10-16,"logiX","dotpiXels"
2012-10-16,"ALTERNATE aTTaX","mTw"
2012-10-16,"mousesports","iPLAY"
2012-10-16,"mousesports","mTw"
2012-10-18,"CPLAY","Tt Dragons"
2012-10-18,"FMESPORTS","3DMAX"
2012-10-18,"dotpiXels","Red Dead"
2012-10-18,"mTw","CPLAY"
2012-10-18,"ALTERNATE aTTaX","n!faculty"
2012-10-18,"logiX","iPLAY"
2012-10-18,"Tt Dragons","SFTO"
2012-10-18,"CPLAY","mousesports"
2012-10-18,"FMESPORTS","gamed!de"
2012-10-21,"ESC","iNET koxXx"
2012-10-21,"GIVE IT ALL","UniversalSoldiers"
2012-10-21,"CPH Wolves","ColdGame"
2012-10-22,"n!faculty","Tt Dragons"
2012-10-22,"Red Dead","SFTO"
2012-10-22,"DELTA","ESC"
2012-10-22,"ALSEN","GIVE IT ALL"
2012-10-23,"CPLAY","SFTO"
2012-10-23,"iPLAY","Tt Dragons"
2012-10-23,"ALTERNATE aTTaX","dotpiXels"
2012-10-24,"WinFakt","Virtus.pro"
2012-10-26,"gamed!de","Tt Dragons"
2012-10-26,"mousesports","SFTO"
2012-10-26,"ALTERNATE aTTaX","iPLAY"
2012-10-27,"ESC","MaxFloPlay"
2012-10-27,"White","Menace"
2012-10-28,"DELTA","aSperaGamers"
2012-10-28,"aSperaGamers","UniversalSoldiers"
2012-10-28,"GIVE IT ALL","iNET koxXx"
2012-10-28,"MaxFloPlay","DELTA"
2012-10-29,"MaxFloPlay","Clan Poland"
2012-10-29,"ESC","Clan Poland"
2012-10-30,"mousesports","dotpiXels"
2012-10-30,"n!faculty","iPLAY"
2012-10-30,"mousesports","SFTO"
2012-10-30,"n!faculty","gamed!de"
2012-10-30,"mousesports","ALTERNATE aTTaX"
2012-10-30,"n!faculty","Red Dead"
2012-10-31,"gamed!de","Red Dead"
2012-11-01,"dotpiXels","CPLAY"
